Nome,Email,Senha,Nascimento,CPF,Ativo,Gênero,Fixo,DDD,Número de Telefone,Entrega,Cobrança,Apelido,Casa,Rua,Logradouro,Número da Casa,CEP,Bairro,Cidade,Estado,Observação
"Otávio Monteiro","otavio@gmail.com","OJt1IjXcJp#","05-01-1981","861.841.887-04","1","1","1","68","37127030","1","1","Minha casa","Casa","Rua","Antonio Ribeiro","506","69908-886","Santo Afonso","Rio Branco",Acre,""
"Tereza da Costa","tereza99@yahoo.com","mw@guLPdRB6","07-02-1999","334.989.192-61","1","2","1","24","39140372","1","1","Minha casa","Casa","Alamada","Oito","585","27337-040","São Sebastião","Barra Mansa",Rio de Janeiro,""
"Sophia Gomes","sophia02@outlook.com","w54$bqGHZh4","09-10-2002","661.678.776-10","0","2","1","85","35232380","1","1","Minha casa","Casa","Rua","Madre Joana Angélica","874","60810-120","Patriolino Ribeiro","Fortaleza",Ceará,""
"Alex Cavalcanti","alex661@gmail.com","6k!Y9HPangh","06-30-2000","603.711.592-37","1","3","0","45","983251589","1","1","Minha casa","Casa","Rua","Cristo Redentor","314","85805-380","Pioneiros Catarinenses","Cascavel",Paraná,""
"Anderson Ferreira","anderson16@gmail.com","57C%XfF2Hbc","06-30-2000","473.342.770-07","1","1","1","65","35836938","1","1","Meu apê","Apartamento","Rua","Projeta 24","279","78075-587","Jardim Universitário","Cuiabá",Mato Grosso,"Bloco Ametista, apt. 36"
"Priscila Isis","prisis@protonmail.com","aIY#i9rCbRxQTw!pf32&Mxy","05-01-2002","114.091.557-65","1","2","0","95","989270516","1","1","Minha casa","Casa","Rua","Sorocaima","823","69303-400","São Vincente","Boa Vista",Roraima,""
"Fábio Castro","fabio635@gmail.com","Qy91cp@HCwa","03-18-1995","173.311.261-80","1","1","1","51","35156919","1","1","Minha casa","Casa","Rua","dos Tupis","662","94150-430","Barnabé","Gravatai",Rio Grande do Sul,""
"Joaquim Campos","jocampos@outlook.com","QTwpf32!Mxy","09-05-1998","617.333.601-40","1","1","0","11","989945578","1","1","Minha casa","Casa","Praça","Del-Duomo","199","13329-216","João Jabour","Salto",São Paulo,""
"Marcos Abreu","marcos123@gmail.com","$Enha123","05-13-1995","024.125.848-00","0","1","0","14","982457580","1","1","Meu apartamento","Apartamento","Rua","Helcias Kerr Nogueira","221","17021-170","Parque Residencial Castelo","Bauru",São Paulo,"Bloco 1, apt. 51"
"Vanessa Mota","vanessa55@yahoo.com","nMqo7#njupi","02-02-2003","796.678.528-90","1","2","1","19","25887544","1","1","Minha casa","Casa","Rua","Itália","939","13411-508","Santana","Piracicaba",São Paulo,""
