Preferencial,Número do Cartão,Apelido,Nome Impresso,Bandeira,CVV
0,5526473543678216,Inter,Otavio M,Visa,562
1,5419311250819930,Nubank,Tereza C,MasterCard,968
1,5251726822651167,Meu cartão,Sophia G,Visa,405
1,5584208983526817,Inter,ALex Cav,Visa,694
1,5314926655348395,Bradesco,Anders F,MasterCard,241
1,5492128214669379,Meu cartão,Prisci I,Visa,161
1,5153528616438762,Itaú,Fabio C,Visa,542
1,5184059619758512,Meu cartão,Joaquim C,MasterCard,646
1,5253499898412835,C6Bank,Marcos A,MasterCard,599
1,5353648865831968,Meu cartão,Vanes M,MasterCard,123
